Company Name:,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region
Aerial Bouquets,Balloons,,,,,,,,,,Floral Accessory Items,,,,,,,,,,,,,,,,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
AIrgas USA,,,,,,,,,,,,,,,,,,,,,,Helium,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,Mexico/South & Central America,,,
Alexandra Farms,,,,,,,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,Australia/New Zealand,Canada,,Europe,,,,
Blooms USA,,,,Bouquets – Pre-made,,,Consumer Floral Bunches,,,,,,,,,,,,,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,,,North East Central,,,,,,,,,,,,,
Bouquet Collection,,,,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,Mexico/South & Central America,,North America excluding Mexico,
Continental Floral Greens,,,Bouquets – Greens,Bouquets – Pre-made,,Christmas Trees/Wreaths,Consumer Floral Bunches,,,,,,,,,,,,,,,,,Organic – Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,Mexico/South & Central America,Middle East,,
Continental Flowers,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
Dekker Chrysanten B.V.,,,,,,,,,,,,,,,Floral Services,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,Antarctica,Asia,,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,
Dutchman Tree Farms,,,Bouquets – Greens,,,Christmas Trees/Wreaths,,,,,,,,,,,,,,,,,Nursery Stock/Shrubs/Trees,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
"E&R Sales, Inc",Balloons,,,,,,,,,,,,,,,,,,,,,Helium,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Equiflor Corporation,,,Bouquets – Greens,,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
"Eve's Garden, Inc.",,,,,,Christmas Trees/Wreaths,,Dish Gardens/Planters,,,,,,,,,,,Flowering Plants,Foliage Plants,,,Nursery Stock/Shrubs/Trees,,Ornamentals,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
Fantasy Farms LLC,,,,,,,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,,West South Central,,,North West Central,,Pacific,,,,,,,,,,,,
Farm Fresh Flowers,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
Fernlea Flowers,,Bedding Plants,,,,,,,,,,,,,,,,,Flowering Plants,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Flopak,,,,,,,,,Floral Display Boxes,,Floral Accessory Items,,,,,Floral Sleeves,,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
"Floral Sense, Inc.",,,,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,,East South Central,South Atlantic,North West Central,North East Central,,,,,,,,,,,,,
"Floralife, a div of Smithers-Oasis Company",,,,,,,,,,,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,Floral Services,Floral Sleeves,,Flower Food,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,,North America excluding Mexico,Oceana/South Pacific
Forever Blossoms,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,Floral Hardgoods,Floral Services,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,Mexico/South & Central America,,North America excluding Mexico,
FreshBlooms,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,Dish Gardens/Planters,Floral Display Boxes,,Floral Accessory Items,,,Floral Hardgoods,,,,Flower Food,Flowering Plants,Foliage Plants,Fresh-cut Flowers,,,,,Floral Packaging Materials,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Galleria Farms,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,Europe,,,,
Garden State Bulb,,,,,,,,Dish Gardens/Planters,,,Floral Accessory Items,,,Floral Hardgoods,,,Flower Bulbs,,,,,,Nursery Stock/Shrubs/Trees,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Gardens America,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,Christmas Trees/Wreaths,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,North America excluding Mexico,
"Gems Group, Inc.",,,,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,Organic – Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,,,,,,Canada,,,,,,
Golden Flowers,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,,West South Central,,,North West Central,,Pacific,,,,,,,,,,,North America excluding Mexico,
"InBloom Group, LLC",,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,Christmas Trees/Wreaths,Consumer Floral Bunches,Dish Gardens/Planters,,,Floral Accessory Items,,,Floral Hardgoods,,Floral Sleeves,,Flower Food,,Foliage Plants,Fresh-cut Flowers,,,,Ornamentals,,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
Intergreen USA Inc.,,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,Floral Display Boxes,Floral Display Equipment,,,,,Floral Services,,,,,,Fresh-cut Flowers,,,Organic – Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,Antarctica,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Koen Pack,,,,,,,,,,,Floral Accessory Items,,,Floral Hardgoods,,Floral Sleeves,,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,Antarctica,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Melody Farms LLC,,,,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
"Syndicate Sales, Inc",,,,,,,,Dish Gardens/Planters,,Floral Display Equipment,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,,,,Flower Food,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
The Hiawatha Corporation,,,Bouquets – Greens,Bouquets – Pre-made,,Christmas Trees/Wreaths,,,,,,Floral Arrangements,,,,,,,,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,Europe,,,North America excluding Mexico,
Valley Springs LLC,,,,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,,,North America excluding Mexico,
"Vistaflor ECommerce USA, LLC",,,Bouquets – Greens,Bouquets – Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,Europe,Mexico/South & Central America,,North America excluding Mexico,
