Company Name:,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Product,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region,Region
Airgas Inc.,,,,,,,,,,,,,,,,,,,,,,,Helium,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
A-ROO Company,,,,,,,,,,Floral Display Equipment,Floral Accessory Items,,,Floral Hardgoods,,Floral Sleeves,,,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,Australia/New Zealand,Canada,,Europe,Mexico/South & Central America,,,Oceana/South Pacific
Back to the Roots,,,,,,,,Dish Gardens/Planters,,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,Organic ? Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Boquet Collection/Queen's Flowers,,,,Bouquets ? Pre-made,,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,Eastern Europe/CIS,Europe,,,,Oceana/South Pacific
burton + BURTON,Balloons,,,,,,,,,Floral Display Equipment,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,,Floral Sleeves,,,,,,,,,,,,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,Antarctica,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Chrysal USA,,,,,,,,,,,,,Floral Equipment,,Floral Services,,,Flower Food,,,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Continental Floral Greens,,,Bouquets ? Greens,Bouquets ? Pre-made,,Christmas Trees/Wreaths,Consumer Floral Bunches,,,,,,,,,,,,,,,,,,Organic ? Floral,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,Canada,,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,
Continental Flowers,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,Eastern Europe/CIS,Europe,,,,
Danziger,,,,,,,,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,,North East Central,Pacific,,,,,,,,,,,,
"Delta Floral Distributors, Inc.",,,Bouquets ? Greens,Bouquets ? Pre-made,,,,,Floral Display Boxes,,Floral Accessory Items,Floral Arrangements,,Floral Hardgoods,,,,,,,,Fresh-cut Flowers,,,,,,,,,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Dependable Packaging Solutions,,,,,,,,,Floral Display Boxes,Floral Display Equipment,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,,Floral Sleeves,,Flower Food,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
Falcon Farms,,,,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
"Fantasy Farms, LLC",,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,Floral Display Boxes,,,,,,Floral Services,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
FARM FRESH FLOWERS,,,,Bouquets ? Pre-made,,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,Europe,,,,
Hollandia Greenhouses,,,,,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,,,West South Central,East South Central,,North West Central,,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
HortyGirl Living Decor,,,,,,,,Dish Gardens/Planters,Floral Display Boxes,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,,,,,,,West South Central,,,,,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
Micky's Minis & N.G. Heimos Greenhouses,,,,,,,,Dish Gardens/Planters,,,,,,,,,,,Flowering Plants,Foliage Plants,,,,,,,,,Mid Atlantic,New England,West South Central,East South Central,,North West Central,North East Central,,,,,,,,,,,,,
"Natural Flowers, Inc.",,,,Bouquets ? Pre-made,,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,Canada,,,,,,
"Orange Flower Connect, Inc.",,,,Bouquets ? Pre-made,,,Consumer Floral Bunches,,Floral Display Boxes,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,,North West Central,North East Central,,Mountain,,,,,,,,,,,
Pleasant Integrity,,,,,Bulk Flowers,,,,,,,,,,,,,,Flowering Plants,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,Asia,,,,,,,,
Pottery Direct Intl.,,,,,,,,,,,,,,Floral Hardgoods,Floral Services,,,,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,,,Canada,,Europe,Mexico/South & Central America,,North America excluding Mexico,
RAINFOREST FARMS AND BOUQUETS USA INC,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
Riverdale Farms,,,Bouquets ? Greens,Bouquets ? Pre-made,,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Smithers-Oasis,,,,,,,,,,,Floral Accessory Items,,,Floral Hardgoods,Floral Services,,,Flower Food,,,,,,,,,,Ribbon,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
Sun Valley Group,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,Floral Display Boxes,,,Floral Arrangements,,,Floral Services,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
"Syndicate Sales, Inc",,,,,,,,Dish Gardens/Planters,,Floral Display Equipment,Floral Accessory Items,,Floral Equipment,Floral Hardgoods,,,,Flower Food,,,,,,,,,Floral Packaging Materials,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,Africa,Antarctica,Asia,Australia/New Zealand,Canada,Eastern Europe/CIS,Europe,Mexico/South & Central America,Middle East,North America excluding Mexico,Oceana/South Pacific
The Queen's Bouquet Network,,,Bouquets ? Greens,Bouquets ? Pre-made,Bulk Flowers,,Consumer Floral Bunches,,,,,Floral Arrangements,,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,Europe,,,North America excluding Mexico,
White's Nursery,,Bedding Plants,,,,,,Dish Gardens/Planters,,,,,,,,,Flower Bulbs,,Flowering Plants,Foliage Plants,,,,,,,,,Mid Atlantic,New England,,East South Central,South Atlantic,,North East Central,,,,,,,,,,,,,
World Class Flowers,,,Bouquets ? Greens,Bouquets ? Pre-made,,,Consumer Floral Bunches,,Floral Display Boxes,,,Floral Arrangements,Floral Equipment,,,,,,,,,Fresh-cut Flowers,,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,,
Zephyr Solutions,,,,,,,,,,,,,Floral Equipment,Floral Hardgoods,,,,,,,,,Helium,,,,,,Mid Atlantic,New England,West South Central,East South Central,South Atlantic,North West Central,North East Central,Pacific,Mountain,,,,,,,,,,North America excluding Mexico,
